JOB_ID,JOB_TITLE,MIN_SALARY,MAX_SALARY
HR_REP,Human Resources Representative,37054,39424
ST_CLERK,Stock Clerk,38052,38128
AC_MGR,Accounting Manager,35737,39073
AD_VP,Administration Vice President,26967,36465
FI_ACCOUNT,Accountant,13285,15100
AC_ACCOUNT,Public Accountant,38735,39954
AC_ACCOUNT,Public Accountant,28559,33485
AD_VP,Administration Vice President,11834,32573
SA_REP,Sales Representative,26972,36204
PU_CLERK,Purchasing Clerk,10323,10782
AD_VP,Administration Vice President,3603,21676
IT_PROG,Programmer,4690,12288
HR_REP,Human Resources Representative,32848,32936
SA_REP,Sales Representative,15569,17151
SA_MAN,Sales Manager,16646,24817
FI_ACCOUNT,Accountant,25664,30969
SA_REP,Sales Representative,10469,22231
MK_REP,Marketing Representative,24526,24983
FI_ACCOUNT,Accountant,39252,39749
AD_ASST,Administration Assistant,36899,38653
